timestamp_sec,car_count,bus_count,truck_count,person_count
9.67,3,0,0,4
9.78,3,0,0,4
9.88,3,0,0,4
9.98,3,0,1,4
10.1,4,0,0,5
10.23,2,0,0,5
10.32,3,0,0,5
10.4,2,0,0,3
10.49,3,0,0,3
10.59,5,0,2,3
10.69,4,0,1,2
10.85,4,0,1,2
10.94,4,0,1,2
11.04,5,0,2,3
11.14,3,1,2,7
11.25,2,1,3,4
11.35,3,0,2,4
11.45,3,0,2,4
11.53,4,1,2,4
11.62,3,0,1,3
11.71,3,0,1,2
11.8,2,0,2,2
11.89,2,1,2,1
11.99,2,1,3,1
12.08,5,0,2,1
12.17,4,0,3,1
12.26,3,0,3,1
12.35,1,0,2,1
12.45,2,0,2,1
12.55,3,0,2,1
12.65,4,1,3,1
12.74,3,0,2,1
12.84,1,0,2,1
12.93,2,0,2,1
13.03,3,1,1,1
13.12,3,0,1,1
13.21,3,1,1,1
13.3,4,0,1,1
13.38,4,0,1,1
13.47,3,0,1,2
13.55,3,1,1,1
13.64,3,0,1,1
13.73,4,1,1,2
13.81,4,1,2,2
13.89,4,0,1,3
13.97,4,1,1,2
14.05,4,1,2,2
14.12,4,1,1,1
14.2,3,1,2,1
14.29,3,1,1,1
14.37,3,1,1,1
14.45,2,1,1,1
14.52,2,0,1,1
14.6,2,1,1,2
14.68,2,1,1,2
14.76,2,1,1,2
14.86,3,0,1,2
14.93,2,1,1,2
15.01,4,0,1,2
15.09,2,0,1,1
15.17,2,0,1,1
15.25,3,0,1,1
15.32,2,1,1,2
15.4,4,0,1,2
15.48,3,0,1,2
15.56,2,1,1,2
15.71,3,1,1,2
15.79,3,1,1,2
15.86,1,1,2,2
15.95,2,1,2,2
16.04,3,1,2,2
16.12,3,0,2,2
16.2,2,0,1,1
16.28,2,0,2,1
16.36,3,1,2,1
16.45,3,1,1,2
16.52,3,1,1,1
16.6,3,1,1,2
16.69,3,1,1,1
16.76,4,1,0,1
16.84,3,1,0,2
16.92,3,1,0,1
17.0,3,1,0,1
17.09,2,1,1,1
17.18,2,1,0,1
17.26,3,0,1,1
17.34,3,1,0,1
17.41,3,1,1,1
17.5,3,1,0,1
17.58,3,1,0,1
17.66,3,1,0,1
17.73,2,1,0,2
17.8,2,1,0,2
17.88,2,1,0,2
17.96,2,1,0,2
18.04,1,1,0,2
18.11,2,1,0,2
18.19,1,1,0,2
18.28,1,1,1,2
18.36,2,1,1,2
18.44,1,1,0,2
18.52,2,1,0,2
18.6,3,1,0,2
18.68,3,1,0,2
18.76,4,1,0,2
18.83,4,1,0,2
18.91,4,1,0,1
18.99,4,1,0,1
19.07,5,1,0,1
19.15,5,1,0,1
19.23,4,1,0,1
19.3,2,1,0,2
19.39,3,1,0,2
19.48,4,1,1,2
19.56,4,1,1,2
19.63,4,1,1,2
19.71,5,0,1,2
19.79,4,1,1,2
19.87,4,1,1,1
19.94,4,0,1,2
20.02,4,1,0,2
20.1,4,1,1,2
20.18,5,0,1,2
20.26,4,1,1,2
20.33,4,1,0,2
20.41,4,1,0,1
20.49,4,1,0,2
20.58,4,1,0,2
20.66,4,1,0,2
20.75,4,1,0,2
20.82,4,1,0,2
20.96,4,1,0,2
21.04,4,1,1,2
21.12,4,1,0,2
21.2,4,1,0,2
21.28,4,1,1,2
21.36,4,1,2,2
21.43,4,0,2,2
21.51,4,1,1,2
21.59,1,1,0,2
21.68,1,1,0,2
21.78,1,1,0,2
21.86,2,1,0,1
21.93,1,1,0,1
22.02,3,1,0,1
22.11,3,1,0,1
22.2,2,1,0,1
22.29,2,1,0,1
22.38,3,1,1,1
22.45,3,1,1,1
22.53,3,1,0,1
22.62,3,1,0,1
22.72,3,1,0,1
22.84,3,1,0,3
22.96,3,1,0,2
23.05,3,1,0,2
23.13,3,1,0,1
23.23,4,1,0,1
23.33,3,1,0,2
23.42,5,1,0,1
23.51,4,1,1,1
23.61,4,1,0,1
23.72,3,1,1,1
23.81,3,1,1,1
23.9,3,1,1,1
23.99,2,1,1,1
24.11,3,1,0,1
24.19,1,1,1,1
24.32,3,1,0,1
24.42,2,1,0,1
24.51,3,1,0,1
24.6,4,1,0,2
24.69,3,1,0,2
24.79,2,1,0,1
24.88,3,1,0,1
24.97,5,1,0,1
25.06,3,1,0,2
25.22,5,1,1,1
25.35,4,1,1,1
25.46,4,1,0,1
25.58,4,1,1,1
25.72,3,1,1,1
25.82,4,1,1,1
25.92,4,1,1,1
26.02,4,1,0,1
26.11,5,1,1,1
26.21,4,1,0,1
26.31,4,1,0,1
26.42,4,1,0,1
26.53,3,1,1,1
26.63,3,1,1,1
26.73,3,1,1,1
26.82,3,1,0,1
26.91,3,1,1,1
27.08,2,1,1,1
27.18,3,1,0,1
27.27,3,1,1,1
27.36,3,1,1,1
27.45,3,1,0,1
27.59,3,1,1,1
27.68,3,1,1,1
27.77,3,1,1,1
27.87,2,1,1,1
27.97,3,1,1,1
28.06,2,1,1,1
28.15,2,1,1,1
28.24,3,1,1,1
28.33,4,1,1,1
28.42,3,1,1,1
28.51,4,1,1,1
28.61,2,1,1,1
28.72,2,1,1,1
28.81,2,1,1,1
28.89,4,1,0,1
28.97,3,1,0,1
29.05,4,1,0,1
29.13,3,1,2,1
29.21,4,1,0,1
29.28,6,1,1,1
29.36,4,1,0,1
29.44,3,1,1,1
29.52,4,1,1,1
29.6,3,1,1,1
29.68,3,1,1,1
29.76,4,1,0,1
29.85,4,1,0,1
29.94,4,1,0,1
30.01,5,1,1,1
30.09,3,1,1,1
30.16,3,1,1,1
30.25,3,1,2,1
30.32,1,1,1,1
30.41,1,1,1,1
30.48,3,1,1,1
30.56,4,1,1,1
30.64,2,1,2,1
30.72,3,1,2,1
30.8,4,1,1,1
30.88,3,1,2,1
30.96,4,1,2,1
31.05,5,1,1,1
31.13,4,1,2,1
31.2,5,1,2,1
31.29,4,1,2,1
31.36,3,1,2,1
31.44,3,1,2,2
31.52,3,1,2,2
31.6,4,1,2,1
31.68,3,1,2,1
31.76,3,1,2,1
31.84,2,1,2,1
31.91,5,1,2,1
31.99,6,1,2,1
32.13,4,1,2,1
32.22,3,1,2,1
32.3,6,1,2,1
32.39,4,1,3,1
32.47,4,1,2,1
32.54,5,1,2,1
32.62,5,1,2,1
32.71,6,1,2,1
32.8,3,1,2,1
32.89,6,1,2,1
32.98,5,1,2,1
33.07,4,1,2,1
33.15,5,1,2,2
33.22,4,1,2,2
33.31,4,1,2,2
33.4,4,2,1,2
33.48,4,1,2,2
33.56,4,1,1,2
33.64,4,1,1,1
33.72,4,0,2,1
33.8,4,1,2,1
33.87,4,2,2,1
33.96,4,1,1,1
34.03,4,1,2,1
34.11,4,1,2,1
34.19,4,1,2,1
34.26,4,1,2,1
34.34,4,1,3,1
34.42,5,1,2,1
34.53,4,1,2,1
34.6,5,1,4,1
34.69,6,1,1,1
34.76,5,1,1,1
34.84,5,1,1,1
34.92,6,1,2,1
35.0,5,1,2,1
35.07,5,1,1,1
35.15,5,1,2,1
35.23,4,1,3,1
35.3,6,1,2,1
35.38,4,1,1,1
35.47,5,1,1,1
35.56,4,0,1,1
35.67,5,0,2,1
35.76,4,0,2,1
35.85,3,0,0,1
35.93,3,0,2,1
36.02,3,0,1,1
36.11,4,0,2,1
36.19,4,0,2,1
36.27,4,0,2,1
36.34,3,0,1,1
36.42,3,0,1,1
36.49,3,0,0,1
36.57,3,0,1,1
36.65,3,0,0,1
36.73,3,0,0,1
36.82,3,0,0,1
36.9,3,0,0,1
37.04,3,0,0,1
37.13,3,0,1,1
37.2,3,0,1,1
37.28,3,0,1,1
37.36,2,0,1,1
37.43,3,0,0,1
37.52,3,0,0,1
37.59,3,0,1,1
